codigo_suministro,operacion_apertura,Horas Inter,ENS $,Mes
312970202,105700798,"7,42","498,12",4
350021603,106825802,"3,82","489,48",4
312663801,105576133,"9,11","489,06",4
304243101,104813007,"2,64","489,03",4
337233201,106799632,"1,62","483,72",4
306073601,105657569,"25,18","479,55",4
315595001,105351724,"28,99","478,56",4
330558101,106068335,"10,17","478,42",4
308968201,106208681,"11,99","478,30",4
323106802,105638716,"1,63","475,60",4
327645301,105779905,"20,07","474,46",4
324610701,106834311,"11,26","472,70",4
325599102,106833936,"11,30","471,01",4
354660101,106807551,"7,57","469,50",4
354405603,105671658,"11,62","466,64",4
360221101,106253047,"12,96","466,40",4
329440601,106063520,"13,85","466,08",4
366092301,104764274,"8,17","464,40",4
303609201,105967157,"14,59","457,89",4
312655901,105576592,"8,83","454,46",4
323771302,106841591,"12,93","450,84",4
317754701,106244672,"17,00","449,15",4
351523801,105632246,"4,82","445,23",4
318584105,105904047,"13,08","444,80",4
330780301,104928382,"13,18","442,53",4
366049201,105385592,"18,10","439,64",4
324610301,105207727,"8,52","439,42",4
329044601,105994765,"2,62","437,15",4
330265301,104723105,"11,73","436,67",4
360585301,105717313,"11,78","432,85",4
312964601,106493785,"8,61","430,46",4
319260101,105395053,"12,43","425,61",4
326394301,106836206,"11,01","424,42",4
362891001,104820926,"1,45","423,92",4
362473901,104840466,"8,46","423,46",4
331505801,104978016,"25,61","423,07",4
306620105,106842184,"11,42","422,96",4
364261302,105207084,"11,59","420,49",4
315723201,106840319,"21,79","417,35",4
315919201,106510147,"9,65","415,38",4
322577501,105716422,"11,58","415,32",4
326704801,105961181,"7,61","410,45",4
300101901,105286912,"25,02","410,36",4
350928301,106316523,"6,05","409,10",4
363845301,106820337,"5,46","408,11",4
321453501,105058779,"5,57","405,99",4
337306902,106546305,"7,57","405,05",4
331141103,106824169,"14,41","400,85",4
312583801,105959285,"20,20","398,61",4
351664101,105814684,"21,30","397,06",4
360353601,105715982,"11,99","396,56",4
360585301,105757406,"10,74","394,63",4
320570401,105383987,"22,47","393,61",4
310268902,106804225,"12,11","387,06",4
304471001,105082454,"12,58","381,98",4
337124702,106418197,"3,17","381,06",4
309088101,105883271,"22,81","379,22",4
323324702,104802298,"9,53","377,09",4
312663901,105576239,"9,06","376,90",4
361147902,106065492,"11,31","375,92",4
314089302,106845009,"8,98","373,60",4
322553001,105877957,"13,29","370,91",4
350233701,105955550,"9,01","370,40",4
367659001,105668545,"6,37","369,80",4
313199306,105160326,"5,95","367,84",4
318735101,105897502,"4,70","367,17",4
329818801,106837261,"10,84","367,09",4
362781201,104787213,"5,77","360,19",4
355835001,105759038,"17,44","359,79",4
306214801,105913743,"12,17","356,40",4
366422801,105690111,"13,08","356,00",4
320570401,105528906,"20,19","353,77",4
329590002,105925264,"13,07","351,05",4
350953501,106535222,"12,86","350,15",4
362569501,104891627,"10,62","348,53",4
313831802,105964185,"17,44","348,20",4
309399401,105258592,"6,93","347,07",4
320464202,105415730,"0,59","346,87",4
313885002,105986949,"2,69","339,84",4
307358302,105441740,"2,31","337,21",4
